dataset,lang,region,task,map_task,cultural
flores200_eng_Latn_shn_Mymr_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_sun_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_tha_Thai_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_vie_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_war_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_zsm_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_ind_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_mya_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_fil_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_khm_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_lao_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_zlm_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_tha_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_vie_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
ntrex_128_eng-US_hmv_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_ind_seacrowd_t2t,ind,Indonesia,MT Eng -> XX,MT,No
nusax_mt_eng_ace_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_jav_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_sun_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_min_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_bug_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_bbc_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_ban_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_nij_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_mad_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
nusax_mt_eng_bjn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_ace_Latn_eng_Latn_seacrowd_t2t,ace,Indonesia,MT XX -> Eng,MT,No
flores200_ban_Latn_eng_Latn_seacrowd_t2t,ban,Indonesia,MT XX -> Eng,MT,No
flores200_bjn_Latn_eng_Latn_seacrowd_t2t,bjn,Indonesia,MT XX -> Eng,MT,No
flores200_bug_Latn_eng_Latn_seacrowd_t2t,bug,Indonesia,MT XX -> Eng,MT,No
flores200_ceb_Latn_eng_Latn_seacrowd_t2t,ceb,Philippines,MT XX -> Eng,MT,No
flores200_ilo_Latn_eng_Latn_seacrowd_t2t,ilo,Philippines,MT XX -> Eng,MT,No
flores200_ind_Latn_eng_Latn_seacrowd_t2t,ind,Indonesia,MT XX -> Eng,MT,No
flores200_jav_Latn_eng_Latn_seacrowd_t2t,jav,Indonesia,MT XX -> Eng,MT,No
flores200_kac_Latn_eng_Latn_seacrowd_t2t,kac,Myanmar,MT XX -> Eng,MT,No
flores200_khm_Khmr_eng_Latn_seacrowd_t2t,khm,Cambodia,MT XX -> Eng,MT,No
flores200_lao_Laoo_eng_Latn_seacrowd_t2t,lao,Laos,MT XX -> Eng,MT,No
flores200_lus_Latn_eng_Latn_seacrowd_t2t,lus,Myanmar,MT XX -> Eng,MT,No
flores200_min_Latn_eng_Latn_seacrowd_t2t,min,Indonesia,MT XX -> Eng,MT,No
flores200_mya_Mymr_eng_Latn_seacrowd_t2t,mya,Myanmar,MT XX -> Eng,MT,No
flores200_pag_Latn_eng_Latn_seacrowd_t2t,pag,Philippines,MT XX -> Eng,MT,No
flores200_shn_Mymr_eng_Latn_seacrowd_t2t,shn,Myanmar,MT XX -> Eng,MT,No
flores200_sun_Latn_eng_Latn_seacrowd_t2t,sun,Indonesia,MT XX -> Eng,MT,No
flores200_tha_Thai_eng_Latn_seacrowd_t2t,tha,Thailand,MT XX -> Eng,MT,No
flores200_vie_Latn_eng_Latn_seacrowd_t2t,vie,Vietnam,MT XX -> Eng,MT,No
flores200_war_Latn_eng_Latn_seacrowd_t2t,war,Philippines,MT XX -> Eng,MT,No
flores200_zsm_Latn_eng_Latn_seacrowd_t2t,zsm,Malaysia,MT XX -> Eng,MT,No
ntrex_128_ind_eng-US_seacrowd_t2t,ind,Indonesia,MT XX -> Eng,MT,No
ntrex_128_mya_eng-US_seacrowd_t2t,mya,Myanmar,MT XX -> Eng,MT,No
ntrex_128_fil_eng-US_seacrowd_t2t,fil,Philippines,MT XX -> Eng,MT,No
ntrex_128_khm_eng-US_seacrowd_t2t,khm,Cambodia,MT XX -> Eng,MT,No
ntrex_128_lao_eng-US_seacrowd_t2t,lao,Laos,MT XX -> Eng,MT,No
ntrex_128_zlm_eng-US_seacrowd_t2t,zlm,Malaysia,MT XX -> Eng,MT,No
ntrex_128_tha_eng-US_seacrowd_t2t,tha,Thailand,MT XX -> Eng,MT,No
ntrex_128_vie_eng-US_seacrowd_t2t,vie,Vietnam,MT XX -> Eng,MT,No
ntrex_128_hmv_eng-US_seacrowd_t2t,hmv,Vietnam,MT XX -> Eng,MT,No
nusax_mt_ace_eng_seacrowd_t2t,ace,Indonesia,MT XX -> Eng,MT,No
nusax_mt_jav_eng_seacrowd_t2t,jav,Indonesia,MT XX -> Eng,MT,No
nusax_mt_sun_eng_seacrowd_t2t,sun,Indonesia,MT XX -> Eng,MT,No
nusax_mt_min_eng_seacrowd_t2t,min,Indonesia,MT XX -> Eng,MT,No
nusax_mt_bug_eng_seacrowd_t2t,bug,Indonesia,MT XX -> Eng,MT,No
nusax_mt_bbc_eng_seacrowd_t2t,bbc,Indonesia,MT XX -> Eng,MT,No
nusax_mt_ban_eng_seacrowd_t2t,ban,Indonesia,MT XX -> Eng,MT,No
nusax_mt_nij_eng_seacrowd_t2t,nij,Indonesia,MT XX -> Eng,MT,No
nusax_mt_mad_eng_seacrowd_t2t,mad,Indonesia,MT XX -> Eng,MT,No
nusax_mt_bjn_eng_seacrowd_t2t,bjn,Indonesia,MT XX -> Eng,MT,No
facqa_seacrowd_qa,ind,Indonesia,Question Answering,QA,Maybe
iapp_squad_seacrowd_qa,tha,Thailand,Question Answering,QA,Maybe
qasina_seacrowd_qa,ind,Indonesia,Question Answering,QA,Maybe
mkqa_khm_seacrowd_qa,khm,Cambodia,Question Answering,QA,No
mkqa_zsm_seacrowd_qa,zsm,Malaysia,Question Answering,QA,No
mkqa_tha_seacrowd_qa,tha,Thailand,Question Answering,QA,No
mkqa_vie_seacrowd_qa,vie,Vietnam,Question Answering,QA,No
lazada_review_filipino_seacrowd_text,fil,Philippines,Sentiment Analysis,Senti. Analysis,Maybe
gklmip_sentiment_seacrowd_text,mya,Myanmar,Sentiment Analysis,Senti. Analysis,Maybe
indolem_sentiment_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
id_sentiment_analysis_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
karonese_sentiment_seacrowd_text,btx,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
wisesight_thai_sentiment_seacrowd_text,tha,Thailand,Sentiment Analysis,Senti. Analysis,Maybe
wongnai_reviews_seacrowd_text,tha,Thailand,Sentiment Analysis,Senti. Analysis,Maybe
typhoon_yolanda_tweets_seacrowd_text,fil,Philippines,Sentiment Analysis,Senti. Analysis,Maybe
smsa_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
prdect_id_sentiment_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
id_sent_emo_mobile_apps_sentiment_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
shopee_reviews_tagalog_seacrowd_text,fil,Philippines,Sentiment Analysis,Senti. Analysis,Maybe
nusatranslation_senti_abs_seacrowd_text,abs,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_btk_seacrowd_text,btx,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_bew_seacrowd_text,bew,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_bhp_seacrowd_text,bhp,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_jav_seacrowd_text,jav,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_mad_seacrowd_text,mad,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_mak_seacrowd_text,mak,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_min_seacrowd_text,min,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_mui_seacrowd_text,mui,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_rej_seacrowd_text,rej,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusatranslation_senti_sun_seacrowd_text,sun,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_ind_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
nusax_senti_ace_seacrowd_text,ace,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_jav_seacrowd_text,jav,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_sun_seacrowd_text,sun,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_min_seacrowd_text,min,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_bug_seacrowd_text,bug,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_bbc_seacrowd_text,bbc,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_ban_seacrowd_text,ban,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_nij_seacrowd_text,nij,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_mad_seacrowd_text,mad,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_bjn_seacrowd_text,bjn,Indonesia,Sentiment Analysis,Senti. Analysis,No
nusax_senti_eng_seacrowd_text,eng,Non-indigenous,Sentiment Analysis,Senti. Analysis,No
indonglish_seacrowd_text,ind,Indonesia,Sentiment Analysis,Senti. Analysis,Maybe
gklmip_newsclass_seacrowd_text,khm,Cambodia,Topic Classification,Topic Cls.,Maybe
indonesian_news_dataset_seacrowd_text,ind,Indonesia,Topic Classification,Topic Cls.,Maybe
uit_vion_seacrowd_text,vie,Vietnam,Topic Classification,Topic Cls.,Maybe
sib_200_ace_Arab_seacrowd_text,ace,Indonesia,Topic Classification,Topic Cls.,No
sib_200_ace_Latn_seacrowd_text,ace,Indonesia,Topic Classification,Topic Cls.,No
sib_200_ban_Latn_seacrowd_text,ban,Indonesia,Topic Classification,Topic Cls.,No
sib_200_bjn_Arab_seacrowd_text,bjn,Indonesia,Topic Classification,Topic Cls.,No
sib_200_bjn_Latn_seacrowd_text,bjn,Indonesia,Topic Classification,Topic Cls.,No
sib_200_bug_Latn_seacrowd_text,bug,Indonesia,Topic Classification,Topic Cls.,No
sib_200_ceb_Latn_seacrowd_text,ceb,Philippines,Topic Classification,Topic Cls.,No
sib_200_ilo_Latn_seacrowd_text,ilo,Philippines,Topic Classification,Topic Cls.,No
sib_200_ind_Latn_seacrowd_text,ind,Indonesia,Topic Classification,Topic Cls.,No
sib_200_jav_Latn_seacrowd_text,jav,Indonesia,Topic Classification,Topic Cls.,No
sib_200_kac_Latn_seacrowd_text,kac,Myanmar,Topic Classification,Topic Cls.,No
sib_200_khm_Khmr_seacrowd_text,khm,Cambodia,Topic Classification,Topic Cls.,No
sib_200_lao_Laoo_seacrowd_text,lao,Laos,Topic Classification,Topic Cls.,No
sib_200_lus_Latn_seacrowd_text,lus,Myanmar,Topic Classification,Topic Cls.,No
sib_200_min_Arab_seacrowd_text,min,Indonesia,Topic Classification,Topic Cls.,No
sib_200_min_Latn_seacrowd_text,min,Indonesia,Topic Classification,Topic Cls.,No
sib_200_mya_Mymr_seacrowd_text,mya,Myanmar,Topic Classification,Topic Cls.,No
sib_200_pag_Latn_seacrowd_text,pag,Philippines,Topic Classification,Topic Cls.,No
sib_200_shn_Mymr_seacrowd_text,shn,Myanmar,Topic Classification,Topic Cls.,No
sib_200_sun_Latn_seacrowd_text,sun,Indonesia,Topic Classification,Topic Cls.,No
sib_200_tgl_Latn_seacrowd_text,fil,Philippines,Topic Classification,Topic Cls.,No
sib_200_tha_Thai_seacrowd_text,tha,Thailand,Topic Classification,Topic Cls.,No
sib_200_vie_Latn_seacrowd_text,vie,Non-indigenous,Topic Classification,Topic Cls.,No
sib_200_war_Latn_seacrowd_text,war,Philippines,Topic Classification,Topic Cls.,No
sib_200_zsm_Latn_seacrowd_text,zsm,Malaysia,Topic Classification,Topic Cls.,No
nusaparagraph_topic_btk_seacrowd_text,btx,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_bew_seacrowd_text,bew,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_bug_seacrowd_text,bug,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_jav_seacrowd_text,jav,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_mad_seacrowd_text,mad,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_mak_seacrowd_text,mak,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_min_seacrowd_text,min,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_mui_seacrowd_text,mui,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_rej_seacrowd_text,rej,Indonesia,Topic Classification,Topic Cls.,Yes
nusaparagraph_topic_sun_seacrowd_text,sun,Indonesia,Topic Classification,Topic Cls.,Yes
emotes_3k_tgl_seacrowd_text,fil,Philippines,Commonsense Reasoning,Commonsense,Maybe
emotes_3k_eng_seacrowd_text,eng,Non-indigenous,Commonsense Reasoning,Commonsense,No
indo_story_cloze_seacrowd_qa,ind,Indonesia,Commonsense Reasoning,Commonsense,Maybe
xstorycloze_id_seacrowd_qa,ind,Indonesia,Commonsense Reasoning,Commonsense,No
xstorycloze_my_seacrowd_qa,mya,Myanmar,Commonsense Reasoning,Commonsense,No
indommlu_ind_seacrowd_qa,ind,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_ban_seacrowd_qa,ban,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_mad_seacrowd_qa,mad,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_mak_seacrowd_qa,mak,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_sun_seacrowd_qa,sun,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_jav_seacrowd_qa,jav,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_bjn_seacrowd_qa,bjn,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_abl_seacrowd_qa,abl,Indonesia,Standard Testing QA,Standard Test. QA,Yes
indommlu_nij_seacrowd_qa,nij,Indonesia,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_mmlu_ind_seacrowd_qa,ind,Indonesia,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_mmlu_vie_seacrowd_qa,vie,Vietnam,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_mmlu_zlm_seacrowd_qa,zsm,Malaysia,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_mmlu_fil_seacrowd_qa,fil,Philippines,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_logiqa_ind_seacrowd_qa,ind,Indonesia,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_logiqa_vie_seacrowd_qa,vie,Vietnam,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_logiqa_zlm_seacrowd_qa,zsm,Malaysia,Standard Testing QA,Standard Test. QA,Yes
seaeval_cross_logiqa_fil_seacrowd_qa,fil,Philippines,Standard Testing QA,Standard Test. QA,Yes
m3exam_jav_seacrowd_qa,jav,Indonesia,Standard Testing QA,Standard Test. QA,Maybe
m3exam_tha_seacrowd_qa,tha,Thailand,Standard Testing QA,Standard Test. QA,Maybe
m3exam_vie_seacrowd_qa,vie,Vietnam,Standard Testing QA,Standard Test. QA,Maybe
okapi_m_arc_ind_seacrowd_qa,ind,Indonesia,Standard Testing QA,Standard Test. QA,No
okapi_m_arc_vie_seacrowd_qa,vie,Vietnam,Standard Testing QA,Standard Test. QA,No
copal_colloquial_seacrowd_qa,ind,Indonesia,Cultural QA,QA,Yes
xcopa_tha_seacrowd_qa,tha,Thailand,Cultural QA,QA,No
xcopa_vie_seacrowd_qa,vie,Vietnam,Cultural QA,QA,No
xcopa_ind_seacrowd_qa,ind,Indonesia,Cultural QA,QA,No
seaeval_sg_eval_eng_seacrowd_qa,eng,Non-indigenous,Cultural QA,QA,Yes
seaeval_ph_eval_eng_seacrowd_qa,eng,Non-indigenous,Cultural QA,QA,Yes
mabl_ind_seacrowd_qa,ind,Indonesia,Cultural QA,QA,Yes
mabl_jav_seacrowd_qa,jav,Indonesia,Cultural QA,QA,Yes
mabl_sun_seacrowd_qa,sun,Indonesia,Cultural QA,QA,Yes
belebele_ceb_latn_seacrowd_qa,ceb,Philippines,Other QA,QA,No
belebele_ilo_latn_seacrowd_qa,ilo,Philippines,Other QA,QA,No
belebele_ind_latn_seacrowd_qa,ind,Indonesia,Other QA,QA,No
belebele_jav_latn_seacrowd_qa,jav,Indonesia,Other QA,QA,No
belebele_kac_latn_seacrowd_qa,kac,Myanmar,Other QA,QA,No
belebele_khm_khmr_seacrowd_qa,khm,Cambodia,Other QA,QA,No
belebele_lao_laoo_seacrowd_qa,lao,Laos,Other QA,QA,No
belebele_mya_mymr_seacrowd_qa,mya,Myanmar,Other QA,QA,No
belebele_shn_mymr_seacrowd_qa,shn,Myanmar,Other QA,QA,No
belebele_sun_latn_seacrowd_qa,sun,Indonesia,Other QA,QA,No
belebele_tgl_latn_seacrowd_qa,fil,Philippines,Other QA,QA,No
belebele_tha_thai_seacrowd_qa,tha,Thailand,Other QA,QA,No
belebele_vie_latn_seacrowd_qa,vie,Vietnam,Other QA,QA,No
belebele_war_latn_seacrowd_qa,war,Philippines,Other QA,QA,No
belebele_zsm_latn_seacrowd_qa,zsm,Malaysia,Other QA,QA,No
indonli_seacrowd_pairs,ind,Indonesia,NLI,NLI,Maybe
wrete_seacrowd_pairs,ind,Indonesia,NLI,NLI,Maybe
snli_indo_seacrowd_pairs,ind,Indonesia,NLI,NLI,No
myxnli_seacrowd_pairs,mya,Myanmar,NLI,NLI,No
xnli.tha_seacrowd_pairs,tha,Thailand,NLI,NLI,No
xnli.vie_seacrowd_pairs,vie,Vietnam,NLI,NLI,No
xm3600_fil_seacrowd_imtext,fil,Philippines,Image Captioning,Image Cap.,No
xm3600_id_seacrowd_imtext,ind,Indonesia,Image Captioning,Image Cap.,No
xm3600_th_seacrowd_imtext,tha,Thailand,Image Captioning,Image Cap.,No
xm3600_vi_seacrowd_imtext,vie,Vietnam,Image Captioning,Image Cap.,No
asr_ibsc_seacrowd_sptext,iba,Brunei,Automatic Speech Recognition,ASR,Maybe
asr_indocsc_seacrowd_sptext,ind,Indonesia,Automatic Speech Recognition,ASR,Maybe
asr_malcsc_seacrowd_sptext,zlm,Malaysia,Automatic Speech Recognition,ASR,Maybe
asr_sindodusc_seacrowd_sptext,ind,Indonesia,Automatic Speech Recognition,ASR,Maybe
asr_smaldusc_seacrowd_sptext,zlm,Malaysia,Automatic Speech Recognition,ASR,Maybe
asr_stidusc_seacrowd_sptext,tha,Thailand,Automatic Speech Recognition,ASR,Maybe
commonvoice_120_tha_seacrowd_sptext,tha,Thailand,Automatic Speech Recognition,ASR,Maybe
commonvoice_120_vie_seacrowd_sptext,vie,Vietnam,Automatic Speech Recognition,ASR,Maybe
commonvoice_120_ind_seacrowd_sptext,ind,Indonesia,Automatic Speech Recognition,ASR,Maybe
commonvoice_120_cnh_seacrowd_sptext,cnh,Myanmar,Automatic Speech Recognition,ASR,Maybe
fleurs_mya_seacrowd_sptext,mya,Myanmar,Automatic Speech Recognition,ASR,No
fleurs_ceb_seacrowd_sptext,ceb,Philippines,Automatic Speech Recognition,ASR,No
fleurs_fil_seacrowd_sptext,fil,Philippines,Automatic Speech Recognition,ASR,No
fleurs_ind_seacrowd_sptext,ind,Indonesia,Automatic Speech Recognition,ASR,No
fleurs_jav_seacrowd_sptext,jav,Indonesia,Automatic Speech Recognition,ASR,No
fleurs_khm_seacrowd_sptext,khm,Cambodia,Automatic Speech Recognition,ASR,No
fleurs_lao_seacrowd_sptext,lao,Laos,Automatic Speech Recognition,ASR,No
fleurs_zlm_seacrowd_sptext,zlm,Malaysia,Automatic Speech Recognition,ASR,No
fleurs_tha_seacrowd_sptext,tha,Thailand,Automatic Speech Recognition,ASR,No
fleurs_vie_seacrowd_sptext,vie,Vietnam,Automatic Speech Recognition,ASR,No
indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,sun,Indonesia,Automatic Speech Recognition,ASR,Maybe
indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,jav,Indonesia,Automatic Speech Recognition,ASR,Maybe
indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,ban,Indonesia,Automatic Speech Recognition,ASR,Maybe
indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,btx,Indonesia,Automatic Speech Recognition,ASR,Maybe
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,Maybe
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
